cycle number,Q discharge/mA.h
1.0,3203.4487235527886
2.0,3206.287288687879
3.0,3206.355702777509
4.0,3205.467143981933
5.0,3205.75308566203
6.0,3206.5333300298407
7.0,3202.767175046524
8.0,3202.090818238528
9.0,3201.217693342013
10.0,3199.8564403704163
11.0,3198.925136340874
12.0,3196.963061141629
13.0,3195.952317321778
14.0,3195.355694717884
15.0,3193.714671619331
16.0,3190.288118297797
17.0,3189.075998119711
18.0,3186.146117555609
19.0,3183.974465402562
20.0,3182.716209515243
21.0,3179.202373656279
22.0,3180.598187803547
23.0,3177.675553361682
24.0,3175.409718580728
25.0,3172.5465630841773
26.0,22.32987569335938
27.0,3170.496503333196
28.0,3168.3077632434056
29.0,3165.639719831001
30.0,3163.101780272625
31.0,3162.158337105575
32.0,3159.172647551676
33.0,3157.121267071533
34.0,3155.250479939372
35.0,3154.0704820606816
36.0,3151.912486782228
37.0,3149.648425501573
38.0,3147.2487949606675
39.0,3145.3147099191606
40.0,3143.9051344892023
41.0,3142.118064307591
42.0,3139.754944113904
43.0,3137.928722928874
44.0,3134.670468431396
45.0,3133.631392529841
46.0,3130.964517937553
47.0,3129.460091688095
48.0,3126.7646728870973
49.0,3125.128691690537
50.0,3123.139488195802
51.0,3120.378948862305
52.0,24.41426829413519
53.0,3118.4500161389174
54.0,3115.660392278919
55.0,3113.934848315157
56.0,3111.3061118838173
57.0,3110.2354028516997
58.0,3108.039735979138
59.0,3105.89821106445
60.0,3104.817782959937
61.0,3100.86896584188
62.0,3099.644383515351
63.0,3098.265795961781
64.0,3096.077897403291
65.0,3095.194784365913
66.0,3091.592748922393
67.0,3090.189536609024
68.0,3088.348410184326
69.0,3086.008779242488
70.0,3082.755806787243
71.0,3081.724702039251
72.0,3078.35348890462
73.0,3078.426292557779
74.0,3074.981734662406
75.0,3073.724682633868
76.0,3071.52954799208
77.0,3069.878000424942
78.0,29.84886270277235
79.0,3066.752880195856
80.0,3065.654498703205
81.0,3062.150368609481
82.0,3061.817314452039
83.0,3057.689504613849
84.0,3058.157579456652
85.0,3056.501606162787
86.0,3054.342629028999
87.0,3051.690511439616
88.0,3050.082997609729
89.0,3048.922168121474
90.0,3047.349385531683
91.0,3044.513042380373
92.0,3042.5372366035995
93.0,3041.23626819119
94.0,3038.909993264159
95.0,3036.56374800239
96.0,3035.006013786624
97.0,3032.406772155355
98.0,3031.97339692383
99.0,3029.466496063505
100.0,3027.7537433728003
101.0,3025.7493049412733
102.0,3023.9702059044066
103.0,3022.313461863336
104.0,36.91390255249024
105.0,3019.265825963542
106.0,3018.456418505046
107.0,3015.262867490912
108.0,3013.292116560469
109.0,3011.258045923394
110.0,3009.3383537245018
111.0,3007.69316163859
112.0,3005.476366398654
113.0,3003.0177230737318
114.0,3000.99628298706
115.0,2999.846682714166
116.0,2997.4605302247437
117.0,2996.085754383276
118.0,2993.451915875379
119.0,2992.147243405221
120.0,2989.561993612197
121.0,2987.452600512561
122.0,2986.1018297870583
123.0,2983.0525300222444
124.0,2982.056487803411
125.0,2980.4936218193907
126.0,2978.321912998455
127.0,2976.6721233784965
128.0,2974.547017896185
129.0,2973.0643855254466
130.0,44.07854777574325
131.0,2971.5163419498717
132.0,2969.165084884308
133.0,2966.913356257051
134.0,2965.004977817516
135.0,2962.3433274285217
136.0,2961.019192575003
137.0,2959.3896951373963
138.0,2957.038905187037
139.0,2955.268566652967
140.0,2954.512549410536
141.0,2952.519067890625
142.0,2950.77908604031
143.0,2948.5065609471308
144.0,2947.371326168079
145.0,2946.1548129086627
146.0,2944.430208315564
147.0,2944.3701538815635
148.0,2940.6093298128258
149.0,2938.7875941174298
150.0,2938.0744275804327
151.0,2935.48765100369
152.0,2934.5559932095
153.0,2932.2309721900765
154.0,2931.38250105455
155.0,2929.1743700085435
156.0,48.60727523980035
157.0,2928.49219291314
158.0,2926.2234678483087
159.0,2923.5975129672584
160.0,2923.039783981797
161.0,2920.34141817871
162.0,2918.121463528645
163.0,2916.394673395182
164.0,2914.830448580869
165.0,2913.572837532551
166.0,2911.051987899172
167.0,2911.116210813531
168.0,2908.43033162964
169.0,2905.786418181559
170.0,2904.579601211887
171.0,2901.8869592574047
172.0,2900.791339703231
173.0,2898.715089936116
174.0,2896.641955292967
175.0,2894.783209400907
176.0,2893.683659820555
177.0,2892.6954039879024
178.0,2890.5410707618544
179.0,2888.104886596137
180.0,2886.893671553686
181.0,2887.273293193224
182.0,56.28578087117511
183.0,2885.392636812608
184.0,2882.224029248589
185.0,2882.696395109183
186.0,2879.2407658104103
187.0,2876.66455384237
188.0,2874.210858299288
189.0,2872.126802475315
190.0,2870.8325705833586
191.0,2867.559120692273
192.0,2868.2078746771917
193.0,2864.472913507624
194.0,2862.484439078778
195.0,2860.551565555556
196.0,2857.61425116984
197.0,2856.4183652969014
198.0,2854.451618087968
199.0,2853.55440107625
200.0,2849.885927241888
201.0,2846.922514816217
202.0,2846.06839412842
203.0,2843.7920410597053
204.0,2843.3748145467134
205.0,2838.573179759926
206.0,2836.385407081164
207.0,2835.380661098362
208.0,65.34972620239257
209.0,2834.398131481796
210.0,2830.86059547852
211.0,2828.240708921577
212.0,2826.1056792693407
213.0,2822.918843523494
214.0,2819.4509723000783
215.0,2816.426141947564
216.0,2814.125277694092
217.0,2810.9877378040887
218.0,2807.563332729626
219.0,2805.016575313722
220.0,2802.603422932264
221.0,2799.548364225664
222.0,2796.1385246738014
223.0,2794.1024174789773
224.0,2791.504843747152
225.0,2788.065403868272
226.0,2785.938143749864
227.0,2783.4015372863787
228.0,2778.5363694040257
229.0,2777.564360158828
230.0,2772.8635352861907
231.0,2768.51702348511
232.0,2766.329037512615
233.0,2762.919640733916
234.0,82.05520887410482
235.0,2761.763828386775
236.0,2760.3626234080657
237.0,2754.435983945044
238.0,2749.719827802191
239.0,2747.213906345079
240.0,2743.620831304796
241.0,2740.738430273301
242.0,2735.829105379095
243.0,2730.278636742756
244.0,2727.561754869115
245.0,2724.588571769071
246.0,2719.9460162066
247.0,2716.242925871989
248.0,2711.972683768309
249.0,2712.1766269740133
250.0,2706.51022863417
251.0,2702.211809508599
252.0,2698.9704833972173
253.0,2695.436337887234
254.0,2692.557785120984
255.0,2687.073088328584
256.0,2683.510790637207
257.0,2682.270016492514
258.0,2677.865142586672
259.0,2674.760962789307
260.0,104.8402636258952
261.0,2671.204895970051
262.0,2666.981514182944
263.0,2662.490532184788
264.0,2657.473002354874
265.0,2654.050731836075
266.0,2649.687069081896
267.0,2647.277929675835
268.0,2642.066401908639
269.0,2636.589855795626
270.0,2634.634591211753
271.0,2628.714191038141
272.0,2625.446951744656
273.0,2624.516294416912
274.0,2619.350240803764
275.0,2617.085701908098
276.0,2613.903536613903
277.0,2609.36392082194
278.0,2604.72225297784
279.0,2601.2222176931423
280.0,2598.194898818359
281.0,2595.114644663765
282.0,2591.5437326654737
283.0,2585.031929538302
284.0,2583.455747455375
285.0,2577.513354817436
286.0,139.02123051879892
287.0,2578.7522396651207
288.0,2573.229691176217
289.0,2570.60964424642
290.0,2563.746591785753
291.0,2559.043448496772
292.0,2558.769537686768
293.0,2552.810212389593
294.0,2547.583011626246
295.0,2546.046714075792
296.0,2541.689801468372
297.0,2536.793704240315
298.0,2535.4704137984227
299.0,2531.874843575845
300.0,2528.886071618652
301.0,2524.932080421007
302.0,2520.560153976508
303.0,2517.493336724174
